               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.021535,            0.068421,              0.1243,                   0,                   0,                   0,                   0,            0.024609,            0.095269,             0.16424,             0.00241,             0.00241,             0.00241
                 117,            0.020858,            0.066446,             0.12524,                   0,                   0,                   0,                   0,            0.024377,            0.093846,             0.16427,            0.002344,            0.002344,            0.002344
                 118,            0.020856,            0.068911,             0.12504,                   0,                   0,                   0,                   0,            0.024438,            0.094434,              0.1647,            0.002278,            0.002278,            0.002278
                 119,            0.020681,             0.06468,             0.12337,                   0,                   0,                   0,                   0,            0.024982,            0.095424,             0.16468,            0.002212,            0.002212,            0.002212
                 120,            0.020743,             0.06851,             0.12481,                   0,                   0,                   0,                   0,            0.024568,            0.096327,             0.16423,            0.002146,            0.002146,            0.002146
                 121,            0.020221,            0.067038,              0.1259,                   0,                   0,                   0,                   0,            0.024739,            0.096381,             0.16439,             0.00208,             0.00208,             0.00208
                 122,            0.020531,            0.066819,             0.12649,                   0,                   0,                   0,                   0,            0.024739,            0.095476,             0.16491,            0.002014,            0.002014,            0.002014
                 123,            0.020316,            0.066412,             0.12469,                   0,                   0,                   0,                   0,            0.024812,             0.09604,             0.16505,            0.001948,            0.001948,            0.001948
                 124,            0.020716,            0.069116,             0.12465,                   0,                   0,                   0,                   0,            0.024785,            0.096327,             0.16515,            0.001882,            0.001882,            0.001882
                 125,            0.019868,            0.066212,             0.12328,                   0,                   0,                   0,                   0,            0.024804,            0.098561,             0.16482,            0.001816,            0.001816,            0.001816
                 126,            0.020463,            0.066989,             0.12425,                   0,                   0,                   0,                   0,            0.024549,            0.096814,             0.16493,             0.00175,             0.00175,             0.00175
                 127,            0.019761,            0.066447,             0.12343,                   0,                   0,                   0,                   0,            0.024308,            0.096708,             0.16499,            0.001684,            0.001684,            0.001684
                 128,            0.019171,            0.065044,             0.12477,                   0,                   0,                   0,                   0,            0.024833,            0.099031,             0.16522,            0.001618,            0.001618,            0.001618
                 129,            0.019785,             0.06324,             0.12394,                   0,                   0,                   0,                   0,            0.024763,            0.099173,             0.16556,            0.001552,            0.001552,            0.001552
                 130,            0.019873,            0.066694,             0.12325,                   0,                   0,                   0,                   0,            0.024748,            0.097159,             0.16584,            0.001486,            0.001486,            0.001486
                 131,            0.019416,            0.067048,              0.1225,                   0,                   0,                   0,                   0,            0.024557,            0.097908,             0.16557,             0.00142,             0.00142,             0.00142
